repo,distinct_hips_merged,matched_prs,total_prs
hiero-ledger/hiero-consensus-node,38,226,5014
hiero-ledger/hiero-mirror-node,35,194,3534
hiero-ledger/hiero-sdk-go,14,24,461
hiero-ledger/solo,13,13,2302
hiero-ledger/hiero-sdk-js,13,36,1035
hiero-ledger/hiero-sdk-java,13,27,572
hiero-ledger/hiero-sdk-cpp,13,15,487
hiero-ledger/hiero-sdk-swift,12,14,132
hiero-ledger/hiero-json-rpc-relay,11,12,1291
hiero-ledger/hiero-mirror-node-explorer,11,16,993
hiero-ledger/hiero-sdk-rust,9,9,272
hiero-ledger/sdk-collaboration-hub,9,25,174
hiero-ledger/hiero-sdk-python,5,5,1024
hiero-ledger/hiero-block-node,4,9,1535
hiero-ledger/hiero-website,4,4,344
hiero-ledger/hiero-contracts,4,4,86
hiero-ledger/governance,3,3,541
hiero-ledger/hiero-sdk-tck,3,2,260
hiero-ledger/hiero-cli,2,2,558
hiero-ledger/tsc,2,2,144
hiero-ledger/hiero-local-node,1,2,263
hiero-ledger/hiero-docs,1,1,53
hiero-ledger/hiero-gradle-conventions,0,0,394
hiero-ledger/hiero-cryptography,0,0,363
hiero-ledger/hiero-enterprise-java,0,0,185
hiero-ledger/solo-docs,0,0,162
hiero-ledger/hiero-hederium,0,0,109
hiero-ledger/heka-identity-platform,0,0,105
hiero-ledger/homebrew-tools,0,0,78
hiero-ledger/hiero,0,0,75
hiero-ledger/hiero-solo-action,0,0,72
hiero-ledger/.github,0,0,54
hiero-ledger/hiero-did-sdk-js,0,0,54
hiero-ledger/hiero-did-sdk-python,0,0,45
hiero-ledger/hiero-consensus-specifications,0,0,28
hiero-ledger/awesome-contributions,0,0,16
hiero-ledger/tsc-eligibility-check,0,0,12
hiero-ledger/identity-collaboration-hub,0,0,11
hiero-ledger/hiero-ethereum-execution-spec-tests,0,0,3
